ID,Sex,Height,Weight,feet,inches,height,weight,bmi
M12467,Male,6 ft. 00 in.,230 lbs.,6,0,72,230,31.19
M12469,Male,5 ft. 07 in.,194 lbs.,5,7,67,194,30.38
M12470,Male,5 ft. 06 in.,179 lbs.,5,6,66,179,28.89
M12471,Male,5 ft. 11 in.,187 lbs.,5,11,71,187,26.08
M12478,Male,6 ft. 01 in.,255 lbs.,6,1,73,255,33.64
M12485,Male,5 ft. 09 in.,212 lbs.,5,9,69,212,31.30
M12486,Male,5 ft. 08 in.,200 lbs.,5,8,68,200,30.41
M12496,Male,6 ft. 02 in.,280 lbs.,6,2,74,280,35.95
M12505,Male,5 ft. 08 in.,240 lbs.,5,8,68,240,36.49
M12507,Male,5 ft. 10 in.,145 lbs.,5,10,70,145,20.80
M12509,Male,5 ft. 11 in.,160 lbs.,5,11,71,160,22.31
M12522,Male,5 ft. 05 in.,195 lbs.,5,5,65,195,32.45
M12523,Male,5 ft. 08 in.,165 lbs.,5,8,68,165,25.09
M12524,Male,5 ft. 09 in.,165 lbs.,5,9,69,165,24.36
M12525,Male,6 ft. 05 in.,185 lbs.,6,5,77,185,21.94
M12536,Male,5 ft. 11 in.,272 lbs.,5,11,71,272,37.93
M12537,Male,5 ft. 10 in.,160 lbs.,5,10,70,160,22.96
M12544,Male,5 ft. 08 in.,160 lbs.,5,8,68,160,24.33
M12545,Male,5 ft. 03 in.,146 lbs.,5,3,63,146,25.86
M12546,Male,6 ft. 01 in.,175 lbs.,6,1,73,175,23.09
M12556,Male,6 ft. 00 in.,205 lbs.,6,0,72,205,27.80
M12560,Male,5 ft. 10 in.,180 lbs.,5,10,70,180,25.82
M12561,Male,5 ft. 07 in.,159 lbs.,5,7,67,159,24.90
M12572,Male,5 ft. 11 in.,175 lbs.,5,11,71,175,24.40
M12573,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
M12574,Male,6 ft. 03 in.,220 lbs.,6,3,75,220,27.50
M12575,Male,5 ft. 10 in.,206 lbs.,5,10,70,206,29.55
M12577,Male,6 ft. 00 in.,185 lbs.,6,0,72,185,25.09
M12578,Male,6 ft. 00 in.,190 lbs.,6,0,72,190,25.77
M12585,Male,5 ft. 11 in.,220 lbs.,5,11,71,220,30.68
M12588,Male,6 ft. 00 in.,179 lbs.,6,0,72,179,24.27
M12598,Male,5 ft. 07 in.,205 lbs.,5,7,67,205,32.10
M12605,Male,5 ft. 08 in.,188 lbs.,5,8,68,188,28.58
M12616,Male,6 ft. 00 in.,210 lbs.,6,0,72,210,28.48
M12634,Male,5 ft. 07 in.,215 lbs.,5,7,67,215,33.67
M12639,Male,5 ft. 11 in.,202 lbs.,5,11,71,202,28.17
M12640,Male,5 ft. 06 in.,180 lbs.,5,6,66,180,29.05
M12648,Male,5 ft. 10 in.,185 lbs.,5,10,70,185,26.54
M12652,Male,5 ft. 04 in.,175 lbs.,5,4,64,175,30.04
M12653,Male,5 ft. 10 in.,220 lbs.,5,10,70,220,31.56
M12656,Male,6 ft. 00 in.,160 lbs.,6,0,72,160,21.70
M12666,Male,5 ft. 10 in.,175 lbs.,5,10,70,175,25.11
M12667,Male,5 ft. 08 in.,160 lbs.,5,8,68,160,24.33
M12670,Male,5 ft. 10 in.,190 lbs.,5,10,70,190,27.26
M12671,Male,6 ft. 01 in.,192 lbs.,6,1,73,192,25.33
M12678,Male,5 ft. 08 in.,205 lbs.,5,8,68,205,31.17
M12679,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
M12680,Male,5 ft. 04 in.,190 lbs.,5,4,64,190,32.61
M12686,Male,5 ft. 03 in.,128 lbs.,5,3,63,128,22.67
M12687,Male,5 ft. 06 in.,130 lbs.,5,6,66,130,20.98
M12689,Male,5 ft. 09 in.,170 lbs.,5,9,69,170,25.10
M12693,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
M12697,Male,6 ft. 01 in.,160 lbs.,6,1,73,160,21.11
M12706,Male,6 ft. 03 in.,195 lbs.,6,3,75,195,24.37
M12709,Male,5 ft. 09 in.,190 lbs.,5,9,69,190,28.06
M12710,Male,5 ft. 09 in.,210 lbs.,5,9,69,210,31.01
M12725,Male,6 ft. 00 in.,190 lbs.,6,0,72,190,25.77
M12727,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
M12729,Male,5 ft. 06 in.,177 lbs.,5,6,66,177,28.57
M12734,Male,5 ft. 09 in.,207 lbs.,5,9,69,207,30.57
M12746,Male,5 ft. 10 in.,203 lbs.,5,10,70,203,29.12
M12747,Male,6 ft. 01 in.,200 lbs.,6,1,73,200,26.38
M12753,Male,5 ft. 08 in.,154 lbs.,5,8,68,154,23.41
M12754,Male,5 ft. 09 in.,155 lbs.,5,9,69,155,22.89
M12755,Male,5 ft. 10 in.,253 lbs.,5,10,70,253,36.30
M12762,Male,5 ft. 10 in.,260 lbs.,5,10,70,260,37.30
M12775,Male,6 ft. 02 in.,215 lbs.,6,2,74,215,27.60
M12790,Male,5 ft. 09 in.,220 lbs.,5,9,69,220,32.48
M12792,Male,6 ft. 01 in.,185 lbs.,6,1,73,185,24.41
M12804,Male,5 ft. 08 in.,200 lbs.,5,8,68,200,30.41
M12805,Male,5 ft. 10 in.,140 lbs.,5,10,70,140,20.09
M12810,Male,5 ft. 11 in.,205 lbs.,5,11,71,205,28.59
M12813,Male,5 ft. 11 in.,150 lbs.,5,11,71,150,20.92
M12814,Male,5 ft. 07 in.,270 lbs.,5,7,67,270,42.28
M12823,Male,5 ft. 08 in.,210 lbs.,5,8,68,210,31.93
M12825,Male,5 ft. 09 in.,233 lbs.,5,9,69,233,34.40
M12829,Male,6 ft. 02 in.,253 lbs.,6,2,74,253,32.48
M12831,Male,5 ft. 11 in.,208 lbs.,5,11,71,208,29.01
M12833,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
M12837,Male,5 ft. 05 in.,160 lbs.,5,5,65,160,26.62
M12854,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
M12855,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
M12857,Male,5 ft. 07 in.,193 lbs.,5,7,67,193,30.22
M12859,Male,5 ft. 09 in.,175 lbs.,5,9,69,175,25.84
M12860,Male,5 ft. 05 in.,161 lbs.,5,5,65,161,26.79
M12861,Male,5 ft. 04 in.,235 lbs.,5,4,64,235,40.33
M12862,Male,5 ft. 08 in.,160 lbs.,5,8,68,160,24.33
M12867,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
M12868,Male,6 ft. 00 in.,230 lbs.,6,0,72,230,31.19
M12870,Male,5 ft. 02 in.,182 lbs.,5,2,62,182,33.28
M12871,Male,5 ft. 08 in.,140 lbs.,5,8,68,140,21.28
M12872,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
M12873,Male,5 ft. 05 in.,178 lbs.,5,5,65,178,29.62
M12887,Male,5 ft. 10 in.,272 lbs.,5,10,70,272,39.02
M12893,Male,5 ft. 05 in.,148 lbs.,5,5,65,148,24.63
M12912,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
M12913,Male,5 ft. 10 in.,330 lbs.,5,10,70,330,47.34
M12918,Male,5 ft. 11 in.,170 lbs.,5,11,71,170,23.71
M12919,Male,5 ft. 07 in.,164 lbs.,5,7,67,164,25.68
M12920,Male,5 ft. 07 in.,185 lbs.,5,7,67,185,28.97
M12936,Male,5 ft. 08 in.,158 lbs.,5,8,68,158,24.02
M12945,Male,5 ft. 06 in.,143 lbs.,5,6,66,143,23.08
M12948,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
M12956,Male,6 ft. 00 in.,240 lbs.,6,0,72,240,32.55
M12957,Male,5 ft. 08 in.,200 lbs.,5,8,68,200,30.41
M12962,Male,5 ft. 06 in.,175 lbs.,5,6,66,175,28.24
M12963,Male,5 ft. 09 in.,205 lbs.,5,9,69,205,30.27
M12974,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
M12985,Male,6 ft. 01 in.,190 lbs.,6,1,73,190,25.06
M12986,Male,6 ft. 02 in.,167 lbs.,6,2,74,167,21.44
M12992,Male,6 ft. 04 in.,225 lbs.,6,4,76,225,27.38
M12993,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
M13002,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
M13003,Male,6 ft. 01 in.,310 lbs.,6,1,73,310,40.90
M13012,Male,6 ft. 01 in.,185 lbs.,6,1,73,185,24.41
M13017,Male,5 ft. 10 in.,170 lbs.,5,10,70,170,24.39
M13022,Male,5 ft. 11 in.,175 lbs.,5,11,71,175,24.40
M13023,Male,6 ft. 00 in.,160 lbs.,6,0,72,160,21.70
M13025,Male,5 ft. 07 in.,165 lbs.,5,7,67,165,25.84
M13026,Male,5 ft. 11 in.,192 lbs.,5,11,71,192,26.78
M13027,Male,5 ft. 04 in.,160 lbs.,5,4,64,160,27.46
M13028,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
M13029,Male,5 ft. 06 in.,130 lbs.,5,6,66,130,20.98
M13041,Male,5 ft. 04 in.,180 lbs.,5,4,64,180,30.89
M13061,Male,5 ft. 10 in.,210 lbs.,5,10,70,210,30.13
M13068,Male,6 ft. 00 in.,170 lbs.,6,0,72,170,23.05
M13070,Male,6 ft. 04 in.,205 lbs.,6,4,76,205,24.95
M13072,Male,5 ft. 07 in.,163 lbs.,5,7,67,163,25.53
M13073,Male,5 ft. 10 in.,185 lbs.,5,10,70,185,26.54
M13079,Male,6 ft. 01 in.,170 lbs.,6,1,73,170,22.43
M13081,Male,6 ft. 02 in.,185 lbs.,6,2,74,185,23.75
M13082,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
M13083,Male,5 ft. 06 in.,240 lbs.,5,6,66,240,38.73
M13084,Male,5 ft. 10 in.,180 lbs.,5,10,70,180,25.82
M13086,Male,5 ft. 06 in.,150 lbs.,5,6,66,150,24.21
M13097,Male,6 ft. 01 in.,220 lbs.,6,1,73,220,29.02
M13102,Male,5 ft. 06 in.,150 lbs.,5,6,66,150,24.21
M13112,Male,6 ft. 02 in.,140 lbs.,6,2,74,140,17.97
M13114,Male,5 ft. 08 in.,185 lbs.,5,8,68,185,28.13
M13121,Male,5 ft. 09 in.,296 lbs.,5,9,69,296,43.71
M13122,Male,5 ft. 06 in.,180 lbs.,5,6,66,180,29.05
M13126,Male,5 ft. 08 in.,150 lbs.,5,8,68,150,22.80
M13127,Male,5 ft. 10 in.,198 lbs.,5,10,70,198,28.41
M13129,Male,5 ft. 02 in.,135 lbs.,5,2,62,135,24.69
M13130,Male,6 ft. 01 in.,235 lbs.,6,1,73,235,31.00
M13131,Male,6 ft. 01 in.,206 lbs.,6,1,73,206,27.18
M13132,Male,5 ft. 08 in.,183 lbs.,5,8,68,183,27.82
M13136,Male,5 ft. 08 in.,200 lbs.,5,8,68,200,30.41
M13148,Male,6 ft. 00 in.,148 lbs.,6,0,72,148,20.07
M13150,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
M13152,Male,5 ft. 09 in.,180 lbs.,5,9,69,180,26.58
M13154,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
M13159,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
M13166,Male,6 ft. 00 in.,205 lbs.,6,0,72,205,27.80
M13169,Male,5 ft. 08 in.,211 lbs.,5,8,68,211,32.08
M13171,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
M13173,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
M13175,Male,5 ft. 06 in.,178 lbs.,5,6,66,178,28.73
M13179,Male,6 ft. 03 in.,220 lbs.,6,3,75,220,27.50
M13183,Male,5 ft. 10 in.,160 lbs.,5,10,70,160,22.96
M13187,Male,5 ft. 04 in.,150 lbs.,5,4,64,150,25.74
M13192,Male,5 ft. 03 in.,130 lbs.,5,3,63,130,23.03
M13204,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
M13208,Male,6 ft. 00 in.,185 lbs.,6,0,72,185,25.09
M13210,Male,5 ft. 10 in.,180 lbs.,5,10,70,180,25.82
M13216,Male,5 ft. 11 in.,165 lbs.,5,11,71,165,23.01
M13234,Male,5 ft. 11 in.,160 lbs.,5,11,71,160,22.31
M13236,Male,5 ft. 08 in.,164 lbs.,5,8,68,164,24.93
M13239,Male,6 ft. 02 in.,187 lbs.,6,2,74,187,24.01
M13242,Male,6 ft. 02 in.,165 lbs.,6,2,74,165,21.18
M13250,Male,5 ft. 11 in.,173 lbs.,5,11,71,173,24.13
M13252,Male,6 ft. 00 in.,200 lbs.,6,0,72,200,27.12
M13266,Male,6 ft. 06 in.,235 lbs.,6,6,78,235,27.15
M13267,Male,6 ft. 02 in.,195 lbs.,6,2,74,195,25.03
M13271,Male,6 ft. 04 in.,230 lbs.,6,4,76,230,27.99
M13283,Male,5 ft. 10 in.,205 lbs.,5,10,70,205,29.41
M13289,Male,5 ft. 05 in.,135 lbs.,5,5,65,135,22.46
M13290,Male,5 ft. 07 in.,195 lbs.,5,7,67,195,30.54
M13297,Male,5 ft. 09 in.,188 lbs.,5,9,69,188,27.76
M13302,Male,5 ft. 09 in.,245 lbs.,5,9,69,245,36.18
M13307,Male,6 ft. 01 in.,190 lbs.,6,1,73,190,25.06
M13311,Male,5 ft. 07 in.,180 lbs.,5,7,67,180,28.19
M13319,Male,6 ft. 03 in.,231 lbs.,6,3,75,231,28.87
M13326,Male,5 ft. 07 in.,202 lbs.,5,7,67,202,31.63
M13345,Male,6 ft. 00 in.,215 lbs.,6,0,72,215,29.16
M13347,Male,5 ft. 09 in.,215 lbs.,5,9,69,215,31.75
M13350,Male,5 ft. 03 in.,165 lbs.,5,3,63,165,29.23
M13363,Male,5 ft. 08 in.,194 lbs.,5,8,68,194,29.49
M13367,Male,5 ft. 09 in.,140 lbs.,5,9,69,140,20.67
M13379,Male,6 ft. 01 in.,180 lbs.,6,1,73,180,23.75
M13391,Male,5 ft. 07 in.,169 lbs.,5,7,67,169,26.47
M13398,Male,5 ft. 11 in.,190 lbs.,5,11,71,190,26.50
M13404,Male,6 ft. 00 in.,234 lbs.,6,0,72,234,31.73
M13405,Male,6 ft. 00 in.,270 lbs.,6,0,72,270,36.61
M13407,Male,6 ft. 03 in.,250 lbs.,6,3,75,250,31.24
M13411,Male,5 ft. 11 in.,278 lbs.,5,11,71,278,38.77
M13419,Male,6 ft. 02 in.,205 lbs.,6,2,74,205,26.32
M13420,Male,5 ft. 10 in.,170 lbs.,5,10,70,170,24.39
M13421,Male,5 ft. 10 in.,205 lbs.,5,10,70,205,29.41
M13424,Male,5 ft. 07 in.,183 lbs.,5,7,67,183,28.66
M13430,Male,5 ft. 11 in.,160 lbs.,5,11,71,160,22.31
M13435,Male,5 ft. 11 in.,210 lbs.,5,11,71,210,29.29
M13452,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
M13468,Male,5 ft. 07 in.,187 lbs.,5,7,67,187,29.29
M13478,Male,5 ft. 10 in.,165 lbs.,5,10,70,165,23.67
M13479,Male,5 ft. 06 in.,205 lbs.,5,6,66,205,33.08
M13487,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
M13492,Male,5 ft. 07 in.,180 lbs.,5,7,67,180,28.19
M13493,Male,5 ft. 06 in.,143 lbs.,5,6,66,143,23.08
M13495,Male,6 ft. 00 in.,230 lbs.,6,0,72,230,31.19
M13503,Male,5 ft. 09 in.,165 lbs.,5,9,69,165,24.36
M13505,Male,5 ft. 09 in.,150 lbs.,5,9,69,150,22.15
M13507,Male,5 ft. 08 in.,230 lbs.,5,8,68,230,34.97
M13508,Male,5 ft. 07 in.,171 lbs.,5,7,67,171,26.78
M13510,Male,5 ft. 07 in.,200 lbs.,5,7,67,200,31.32
M13518,Male,5 ft. 05 in.,165 lbs.,5,5,65,165,27.45
M13524,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
M13538,Male,6 ft. 01 in.,186 lbs.,6,1,73,186,24.54
M13539,Male,6 ft. 04 in.,220 lbs.,6,4,76,220,26.78
M13540,Male,5 ft. 07 in.,179 lbs.,5,7,67,179,28.03
M13546,Male,5 ft. 08 in.,240 lbs.,5,8,68,240,36.49
M13551,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
M13554,Male,5 ft. 07 in.,230 lbs.,5,7,67,230,36.02
M13555,Male,5 ft. 09 in.,210 lbs.,5,9,69,210,31.01
M13568,Male,5 ft. 08 in.,168 lbs.,5,8,68,168,25.54
M13574,Male,6 ft. 00 in.,287 lbs.,6,0,72,287,38.92
M13586,Male,6 ft. 00 in.,155 lbs.,6,0,72,155,21.02
M13588,Male,6 ft. 07 in.,200 lbs.,6,7,79,200,22.53
M13589,Male,5 ft. 06 in.,156 lbs.,5,6,66,156,25.18
M13598,Male,5 ft. 10 in.,148 lbs.,5,10,70,148,21.23
M13599,Male,5 ft. 09 in.,143 lbs.,5,9,69,143,21.12
M13600,Male,5 ft. 11 in.,165 lbs.,5,11,71,165,23.01
M13613,Male,5 ft. 10 in.,150 lbs.,5,10,70,150,21.52
M13614,Male,6 ft. 01 in.,222 lbs.,6,1,73,222,29.29
M13626,Male,5 ft. 07 in.,160 lbs.,5,7,67,160,25.06
M13629,Male,5 ft. 11 in.,160 lbs.,5,11,71,160,22.31
M13636,Male,6 ft. 02 in.,210 lbs.,6,2,74,210,26.96
M13640,Male,5 ft. 10 in.,191 lbs.,5,10,70,191,27.40
M13641,Male,5 ft. 08 in.,140 lbs.,5,8,68,140,21.28
M13644,Male,6 ft. 02 in.,175 lbs.,6,2,74,175,22.47
M13648,Male,5 ft. 07 in.,152 lbs.,5,7,67,152,23.80
M13649,Male,5 ft. 10 in.,165 lbs.,5,10,70,165,23.67
M13652,Male,6 ft. 01 in.,228 lbs.,6,1,73,228,30.08
M13657,Male,6 ft. 01 in.,197 lbs.,6,1,73,197,25.99
M13658,Male,6 ft. 01 in.,175 lbs.,6,1,73,175,23.09
M13659,Male,5 ft. 07 in.,186 lbs.,5,7,67,186,29.13
M13671,Male,6 ft. 01 in.,168 lbs.,6,1,73,168,22.16
M13682,Male,5 ft. 07 in.,180 lbs.,5,7,67,180,28.19
M13686,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
M13693,Male,5 ft. 11 in.,198 lbs.,5,11,71,198,27.61
M13695,Male,5 ft. 10 in.,240 lbs.,5,10,70,240,34.43
M13697,Male,5 ft. 07 in.,257 lbs.,5,7,67,257,40.25
M13707,Male,6 ft. 03 in.,145 lbs.,6,3,75,145,18.12
M13717,Male,5 ft. 09 in.,150 lbs.,5,9,69,150,22.15
M13721,Male,5 ft. 07 in.,210 lbs.,5,7,67,210,32.89
M13725,Male,5 ft. 06 in.,185 lbs.,5,6,66,185,29.86
M13730,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
M13733,Male,6 ft. 00 in.,250 lbs.,6,0,72,250,33.90
M13744,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
M13745,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
M13749,Male,5 ft. 11 in.,220 lbs.,5,11,71,220,30.68
M13752,Male,5 ft. 08 in.,160 lbs.,5,8,68,160,24.33
M13758,Male,5 ft. 07 in.,197 lbs.,5,7,67,197,30.85
M13767,Male,5 ft. 07 in.,189 lbs.,5,7,67,189,29.60
M13774,Male,5 ft. 11 in.,193 lbs.,5,11,71,193,26.92
M13781,Male,6 ft. 02 in.,148 lbs.,6,2,74,148,19.00
M13782,Male,5 ft. 09 in.,175 lbs.,5,9,69,175,25.84
M13784,Male,5 ft. 08 in.,178 lbs.,5,8,68,178,27.06
M13792,Male,5 ft. 06 in.,140 lbs.,5,6,66,140,22.59
M13812,Male,5 ft. 08 in.,170 lbs.,5,8,68,170,25.85
M13815,Male,5 ft. 11 in.,210 lbs.,5,11,71,210,29.29
M13816,Male,6 ft. 00 in.,175 lbs.,6,0,72,175,23.73
M13817,Male,5 ft. 07 in.,145 lbs.,5,7,67,145,22.71
M13820,Male,5 ft. 06 in.,147 lbs.,5,6,66,147,23.72
M13824,Male,5 ft. 11 in.,197 lbs.,5,11,71,197,27.47
M13829,Male,5 ft. 08 in.,175 lbs.,5,8,68,175,26.61
M13831,Male,5 ft. 11 in.,260 lbs.,5,11,71,260,36.26
M13833,Male,5 ft. 08 in.,145 lbs.,5,8,68,145,22.04
M13835,Male,5 ft. 05 in.,185 lbs.,5,5,65,185,30.78
M13841,Male,5 ft. 09 in.,205 lbs.,5,9,69,205,30.27
M13844,Male,6 ft. 00 in.,229 lbs.,6,0,72,229,31.05
M13845,Male,5 ft. 09 in.,165 lbs.,5,9,69,165,24.36
M13848,Male,5 ft. 07 in.,170 lbs.,5,7,67,170,26.62
M13851,Male,6 ft. 00 in.,164 lbs.,6,0,72,164,22.24
M13852,Male,6 ft. 00 in.,204 lbs.,6,0,72,204,27.66
M13853,Male,5 ft. 10 in.,170 lbs.,5,10,70,170,24.39
M13857,Male,5 ft. 05 in.,135 lbs.,5,5,65,135,22.46
M13858,Male,5 ft. 06 in.,180 lbs.,5,6,66,180,29.05
M13874,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
M13879,Male,5 ft. 07 in.,171 lbs.,5,7,67,171,26.78
M13880,Male,5 ft. 08 in.,190 lbs.,5,8,68,190,28.89
M13883,Male,6 ft. 03 in.,270 lbs.,6,3,75,270,33.74
M13886,Male,6 ft. 00 in.,140 lbs.,6,0,72,140,18.99
M13888,Male,5 ft. 11 in.,190 lbs.,5,11,71,190,26.50
M13893,Male,6 ft. 02 in.,215 lbs.,6,2,74,215,27.60
M13898,Male,6 ft. 01 in.,183 lbs.,6,1,73,183,24.14
M13899,Male,5 ft. 09 in.,165 lbs.,5,9,69,165,24.36
M13902,Male,5 ft. 10 in.,160 lbs.,5,10,70,160,22.96
M13905,Male,6 ft. 01 in.,220 lbs.,6,1,73,220,29.02
M13915,Male,5 ft. 11 in.,167 lbs.,5,11,71,167,23.29
M13921,Male,6 ft. 00 in.,230 lbs.,6,0,72,230,31.19
M13924,Male,5 ft. 08 in.,190 lbs.,5,8,68,190,28.89
M13927,Male,6 ft. 03 in.,220 lbs.,6,3,75,220,27.50
M13929,Male,5 ft. 05 in.,150 lbs.,5,5,65,150,24.96
M13931,Male,6 ft. 04 in.,240 lbs.,6,4,76,240,29.21
M13941,Male,5 ft. 04 in.,150 lbs.,5,4,64,150,25.74
M13942,Male,6 ft. 00 in.,195 lbs.,6,0,72,195,26.44
M13947,Male,6 ft. 02 in.,210 lbs.,6,2,74,210,26.96
M13956,Male,5 ft. 10 in.,200 lbs.,5,10,70,200,28.69
M13962,Male,6 ft. 03 in.,235 lbs.,6,3,75,235,29.37
M13963,Male,6 ft. 01 in.,210 lbs.,6,1,73,210,27.70
M13968,Male,6 ft. 03 in.,202 lbs.,6,3,75,202,25.25
M13969,Male,6 ft. 00 in.,205 lbs.,6,0,72,205,27.80
M13971,Male,5 ft. 11 in.,189 lbs.,5,11,71,189,26.36
M13975,Male,6 ft. 02 in.,168 lbs.,6,2,74,168,21.57
M13981,Male,5 ft. 05 in.,140 lbs.,5,5,65,140,23.29
M13987,Male,6 ft. 00 in.,250 lbs.,6,0,72,250,33.90
M13990,Male,6 ft. 03 in.,175 lbs.,6,3,75,175,21.87
M13993,Male,5 ft. 08 in.,185 lbs.,5,8,68,185,28.13
M13996,Male,6 ft. 01 in.,200 lbs.,6,1,73,200,26.38
M14007,Male,6 ft. 02 in.,213 lbs.,6,2,74,213,27.34
M14009,Male,5 ft. 03 in.,164 lbs.,5,3,63,164,29.05
M14012,Male,6 ft. 01 in.,296 lbs.,6,1,73,296,39.05
M14018,Male,5 ft. 09 in.,208 lbs.,5,9,69,208,30.71
M14025,Male,5 ft. 07 in.,165 lbs.,5,7,67,165,25.84
M14026,Male,5 ft. 06 in.,225 lbs.,5,6,66,225,36.31
M14029,Male,5 ft. 07 in.,210 lbs.,5,7,67,210,32.89
M14039,Male,5 ft. 10 in.,243 lbs.,5,10,70,243,34.86
M14048,Male,5 ft. 06 in.,200 lbs.,5,6,66,200,32.28
M14054,Male,5 ft. 11 in.,180 lbs.,5,11,71,180,25.10
M14057,Male,6 ft. 01 in.,252 lbs.,6,1,73,252,33.24
M14073,Male,5 ft. 09 in.,165 lbs.,5,9,69,165,24.36
M14074,Male,6 ft. 01 in.,215 lbs.,6,1,73,215,28.36
M14077,Male,6 ft. 00 in.,225 lbs.,6,0,72,225,30.51
M14079,Male,6 ft. 02 in.,165 lbs.,6,2,74,165,21.18
M14083,Male,5 ft. 11 in.,133 lbs.,5,11,71,133,18.55
M14087,Male,6 ft. 02 in.,200 lbs.,6,2,74,200,25.68
M14089,Male,5 ft. 11 in.,217 lbs.,5,11,71,217,30.26
M14112,Male,5 ft. 06 in.,190 lbs.,5,6,66,190,30.66
M14114,Male,5 ft. 09 in.,140 lbs.,5,9,69,140,20.67
M14115,Male,5 ft. 08 in.,173 lbs.,5,8,68,173,26.30
M14116,Male,6 ft. 01 in.,217 lbs.,6,1,73,217,28.63
M14117,Male,5 ft. 06 in.,175 lbs.,5,6,66,175,28.24
M14121,Male,5 ft. 10 in.,225 lbs.,5,10,70,225,32.28
M14122,Male,5 ft. 07 in.,160 lbs.,5,7,67,160,25.06
M14123,Male,6 ft. 02 in.,212 lbs.,6,2,74,212,27.22
M14124,Male,5 ft. 07 in.,164 lbs.,5,7,67,164,25.68
M14125,Male,6 ft. 02 in.,140 lbs.,6,2,74,140,17.97
M14126,Male,6 ft. 01 in.,170 lbs.,6,1,73,170,22.43
M14132,Male,5 ft. 09 in.,151 lbs.,5,9,69,151,22.30
M14144,Male,6 ft. 01 in.,180 lbs.,6,1,73,180,23.75
M14155,Male,6 ft. 00 in.,193 lbs.,6,0,72,193,26.17
M14160,Male,5 ft. 11 in.,245 lbs.,5,11,71,245,34.17
M14161,Male,5 ft. 08 in.,210 lbs.,5,8,68,210,31.93
M14168,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
M14173,Male,5 ft. 09 in.,217 lbs.,5,9,69,217,32.04
M14179,Male,5 ft. 11 in.,157 lbs.,5,11,71,157,21.89
M14183,Male,6 ft. 00 in.,230 lbs.,6,0,72,230,31.19
M14184,Male,5 ft. 06 in.,180 lbs.,5,6,66,180,29.05
M14186,Male,5 ft. 00 in.,164 lbs.,5,0,60,164,32.03
M14190,Male,5 ft. 09 in.,203 lbs.,5,9,69,203,29.97
M14192,Male,5 ft. 09 in.,189 lbs.,5,9,69,189,27.91
M14194,Male,6 ft. 00 in.,185 lbs.,6,0,72,185,25.09
M14196,Male,5 ft. 11 in.,155 lbs.,5,11,71,155,21.62
M14197,Male,6 ft. 04 in.,180 lbs.,6,4,76,180,21.91
M14205,Male,6 ft. 02 in.,165 lbs.,6,2,74,165,21.18
M14206,Male,6 ft. 02 in.,165 lbs.,6,2,74,165,21.18
M14214,Male,5 ft. 07 in.,145 lbs.,5,7,67,145,22.71
M14228,Male,5 ft. 08 in.,150 lbs.,5,8,68,150,22.80
M14229,Male,5 ft. 07 in.,156 lbs.,5,7,67,156,24.43
M14231,Male,5 ft. 10 in.,165 lbs.,5,10,70,165,23.67
M14239,Male,5 ft. 09 in.,235 lbs.,5,9,69,235,34.70
M14240,Male,5 ft. 10 in.,267 lbs.,5,10,70,267,38.31
M14241,Male,6 ft. 00 in.,170 lbs.,6,0,72,170,23.05
M14242,Male,6 ft. 01 in.,175 lbs.,6,1,73,175,23.09
M14243,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
M14245,Male,6 ft. 01 in.,185 lbs.,6,1,73,185,24.41
